POLLINATOR_NAME,PLANT_NAME,Group
Andrena alfkenella,Daucus carota,Bee
Andrena alfkenella,Oenanthe crocata,Bee
Andrena alfkenella,Oenanthe pimpinelloides,Bee
Andrena alfkenella,Oenanthe silaifolia,Bee
Andrena angustior,Bellis perennis,Bee
Andrena angustior,Ficaria verna,Bee
Andrena angustior,Potentilla erecta,Bee
Andrena angustior,Ranunculus acris,Bee
Andrena angustior,Ranunculus aquatilis,Bee
Andrena angustior,Ranunculus bulbosus,Bee
Andrena angustior,Ranunculus flammula,Bee
Andrena angustior,Ranunculus lingua,Bee
Andrena angustior,Ranunculus repens,Bee
Andrena angustior,Salix alba,Bee
Andrena angustior,Salix aurita,Bee
Andrena angustior,Salix caprea,Bee
Andrena angustior,Salix cinerea,Bee
Andrena angustior,Salix fragilis,Bee
Andrena angustior,Salix pentandra,Bee
Andrena angustior,Salix repens,Bee
Andrena angustior,Salix viminalis,Bee
Andrena angustior,Silene dioica,Bee
Andrena angustior,Smyrnium olusatrum,Bee
Andrena angustior,Taraxacum,Bee
Andrena apicata,Salix alba,Bee
Andrena apicata,Salix aurita,Bee
Andrena apicata,Salix caprea,Bee
Andrena apicata,Salix cinerea,Bee
Andrena apicata,Salix fragilis,Bee
Andrena apicata,Salix pentandra,Bee
Andrena apicata,Salix repens,Bee
Andrena apicata,Salix viminalis,Bee
Andrena argentata,Calluna vulgaris,Bee
Andrena argentata,Malva moschata,Bee
Andrena barbilabris,Acer pseudoplatanus,Bee
Andrena barbilabris,Angelica sylvestris,Bee
Andrena barbilabris,Armeria maritima,Bee
Andrena barbilabris,Bellis perennis,Bee
Andrena barbilabris,Crataegus monogyna,Bee
Andrena barbilabris,Heracleum sphondylium,Bee
Andrena barbilabris,Potentilla anserina,Bee
Andrena barbilabris,Rubus fruticosus,Bee
Andrena barbilabris,Smyrnium olusatrum,Bee
Andrena barbilabris,Taraxacum,Bee
Andrena bicolor,Alliaria petiolata,Bee
Andrena bicolor,Bellis perennis,Bee
